run,conc,rep,od
01,0.04882812,1,0.017
01,0.04882812,2,0.018
01,0.1953125,1,0.121
01,0.1953125,2,0.124
01,0.390625,1,0.206
01,0.390625,2,0.215
01,0.78125,1,0.377
01,0.78125,2,0.374
01,1.5625,1,0.614
01,1.5625,2,0.609
01,3.125,1,1.019
01,3.125,2,1.001
01,6.25,1,1.334
01,6.25,2,1.364
01,12.5,1,1.73
01,12.5,2,1.71
02,0.04882812,1,0.045
02,0.04882812,2,0.05
02,0.1953125,1,0.137
02,0.1953125,2,0.123
02,0.390625,1,0.225
02,0.390625,2,0.207
02,0.78125,1,0.401
02,0.78125,2,0.383
02,1.5625,1,0.672
02,1.5625,2,0.681
02,3.125,1,1.116
02,3.125,2,1.078
02,6.25,1,1.554
02,6.25,2,1.526
02,12.5,1,1.932
02,12.5,2,1.914
03,0.04882812,1,0.07
03,0.04882812,2,0.068
03,0.1953125,1,0.173
03,0.1953125,2,0.165
03,0.390625,1,0.277
03,0.390625,2,0.248
03,0.78125,1,0.434
03,0.78125,2,0.426
03,1.5625,1,0.703
03,1.5625,2,0.689
03,3.125,1,1.067
03,3.125,2,1.077
03,6.25,1,1.629
03,6.25,2,1.479
03,12.5,1,2.003
03,12.5,2,1.884
04,0.04882812,1,0.011
04,0.04882812,2,0.016
04,0.1953125,1,0.118
04,0.1953125,2,0.108
04,0.390625,1,0.2
04,0.390625,2,0.206
04,0.78125,1,0.364
04,0.78125,2,0.36
04,1.5625,1,0.62
04,1.5625,2,0.64
04,3.125,1,0.979
04,3.125,2,0.973
04,6.25,1,1.424
04,6.25,2,1.399
04,12.5,1,1.74
04,12.5,2,1.732
05,0.04882812,1,0.035
05,0.04882812,2,0.035
05,0.1953125,1,0.132
05,0.1953125,2,0.135
05,0.390625,1,0.224
05,0.390625,2,0.22
05,0.78125,1,0.385
05,0.78125,2,0.39
05,1.5625,1,0.658
05,1.5625,2,0.647
05,3.125,1,1.06
05,3.125,2,1.031
05,6.25,1,1.425
05,6.25,2,1.409
05,12.5,1,1.75
05,12.5,2,1.738
06,0.04882812,1,0.086
06,0.04882812,2,0.103
06,0.1953125,1,0.191
06,0.1953125,2,0.189
06,0.390625,1,0.272
06,0.390625,2,0.277
06,0.78125,1,0.44
06,0.78125,2,0.426
06,1.5625,1,0.686
06,1.5625,2,0.676
06,3.125,1,1.062
06,3.125,2,1.072
06,6.25,1,1.424
06,6.25,2,1.459
06,12.5,1,1.768
06,12.5,2,1.806
07,0.04882812,1,0.094
07,0.04882812,2,0.092
07,0.1953125,1,0.182
07,0.1953125,2,0.182
07,0.390625,1,0.282
07,0.390625,2,0.273
07,0.78125,1,0.444
07,0.78125,2,0.439
07,1.5625,1,0.686
07,1.5625,2,0.668
07,3.125,1,1.052
07,3.125,2,1.035
07,6.25,1,1.409
07,6.25,2,1.392
07,12.5,1,1.759
07,12.5,2,1.739
08,0.04882812,1,0.054
08,0.04882812,2,0.054
08,0.1953125,1,0.152
08,0.1953125,2,0.148
08,0.390625,1,0.226
08,0.390625,2,0.222
08,0.78125,1,0.392
08,0.78125,2,0.383
08,1.5625,1,0.658
08,1.5625,2,0.644
08,3.125,1,1.043
08,3.125,2,1.002
08,6.25,1,1.466
08,6.25,2,1.381
08,12.5,1,1.743
08,12.5,2,1.724
09,0.04882812,1,0.032
09,0.04882812,2,0.043
09,0.1953125,1,0.142
09,0.1953125,2,0.155
09,0.390625,1,0.239
09,0.390625,2,0.242
09,0.78125,1,0.42
09,0.78125,2,0.395
09,1.5625,1,0.624
09,1.5625,2,0.705
09,3.125,1,1.046
09,3.125,2,1.026
09,6.25,1,1.398
09,6.25,2,1.405
09,12.5,1,1.693
09,12.5,2,1.729
10,0.04882812,1,0.052
10,0.04882812,2,0.094
10,0.1953125,1,0.164
10,0.1953125,2,0.166
10,0.390625,1,0.259
10,0.390625,2,0.256
10,0.78125,1,0.439
10,0.78125,2,0.439
10,1.5625,1,0.69
10,1.5625,2,0.701
10,3.125,1,1.042
10,3.125,2,1.075
10,6.25,1,1.34
10,6.25,2,1.406
10,12.5,1,1.699
10,12.5,2,1.708
11,0.04882812,1,0.047
11,0.04882812,2,0.057
11,0.1953125,1,0.159
11,0.1953125,2,0.155
11,0.390625,1,0.246
11,0.390625,2,0.252
11,0.78125,1,0.427
11,0.78125,2,0.411
11,1.5625,1,0.704
11,1.5625,2,0.684
11,3.125,1,0.994
11,3.125,2,0.98
11,6.25,1,1.421
11,6.25,2,1.385
11,12.5,1,1.715
11,12.5,2,1.721
