plate,descrip,conc,rep,dod
1,QC,9.75,1,0.383333333333333
1,QC,9.75,2,0.361666666666667
1,QC,13,1,0.400666666666667
1,QC,13,2,0.389666666666667
1,QC,19.5,1,0.441
1,QC,19.5,2,0.433666666666667
1,QC,39.1,1,0.522
1,QC,39.1,2,0.546
1,QC,78.125,1,0.699666666666667
1,QC,78.125,2,0.718
1,QC,156.25,1,1.052
1,QC,156.25,2,1.11
1,QC,312.5,1,1.953
1,QC,312.5,2,2.00366666666667
1,Standard,2.048,1,0.360666666666667
1,Standard,2.048,2,0.33
1,Standard,5.12,1,0.378666666666667
1,Standard,5.12,2,0.377666666666667
1,Standard,12.8,1,0.417333333333333
1,Standard,12.8,2,0.400666666666667
1,Standard,32,1,0.504
1,Standard,32,2,0.51
1,Standard,80,1,0.756333333333333
1,Standard,80,2,0.790333333333333
1,Standard,200,1,1.43133333333333
1,Standard,200,2,1.39233333333333
1,Standard,500,1,2.79666666666667
1,Standard,500,2,2.62233333333333
2,QC,9.75,1,0.51
2,QC,9.75,2,0.375666666666667
2,QC,13,1,0.395
2,QC,13,2,0.392
2,QC,19.5,1,0.429
2,QC,19.5,2,0.451
2,QC,39.1,1,0.551666666666667
2,QC,39.1,2,0.524333333333333
2,QC,78.125,1,0.757666666666667
2,QC,78.125,2,0.800666666666667
2,QC,156.25,1,1.12333333333333
2,QC,156.25,2,1.119
2,QC,312.5,1,1.91333333333333
2,QC,312.5,2,1.88933333333333
2,Standard,2.048,1,0.315666666666667
2,Standard,2.048,2,0.309666666666667
2,Standard,5.12,1,0.326
2,Standard,5.12,2,0.336333333333333
2,Standard,12.8,1,0.381333333333333
2,Standard,12.8,2,0.400333333333333
2,Standard,32,1,0.498333333333333
2,Standard,32,2,0.543333333333333
2,Standard,80,1,0.797333333333333
2,Standard,80,2,0.750666666666667
2,Standard,200,1,1.40933333333333
2,Standard,200,2,1.366
2,Standard,500,1,2.697
2,Standard,500,2,2.662
3,QC,9.75,1,0.3995
3,QC,9.75,2,0.3675
3,QC,13,1,0.402166666666667
3,QC,13,2,0.4265
3,QC,19.5,1,0.451833333333333
3,QC,19.5,2,0.474166666666667
3,QC,39.1,1,0.6035
3,QC,39.1,2,0.568833333333333
3,QC,78.125,1,0.778833333333333
3,QC,78.125,2,0.823833333333333
3,QC,156.25,1,1.2675
3,QC,156.25,2,1.25683333333333
3,QC,312.5,1,2.31316666666667
3,QC,312.5,2,2.0835
3,Standard,2.048,1,0.330166666666667
3,Standard,2.048,2,0.3605
3,Standard,5.12,1,0.3115
3,Standard,5.12,2,0.3135
3,Standard,12.8,1,0.409833333333333
3,Standard,12.8,2,0.442166666666667
3,Standard,32,1,0.554833333333333
3,Standard,32,2,0.568833333333333
3,Standard,80,1,0.822833333333333
3,Standard,80,2,0.838166666666667
3,Standard,200,1,1.3825
3,Standard,200,2,1.59016666666667
3,Standard,500,1,3.00016666666667
3,Standard,500,2,3.19716666666667
4,QC,9.75,1,0.4005
4,QC,9.75,2,0.421833333333333
4,QC,13,1,0.405166666666667
4,QC,13,2,0.400166666666667
4,QC,19.5,1,0.419166666666667
4,QC,19.5,2,0.445166666666667
4,QC,39.1,1,0.512833333333333
4,QC,39.1,2,0.542833333333333
4,QC,78.125,1,0.772833333333333
4,QC,78.125,2,0.7345
4,QC,156.25,1,1.1705
4,QC,156.25,2,1.18916666666667
4,QC,312.5,1,2.16016666666667
4,QC,312.5,2,2.04783333333333
4,Standard,2.048,1,0.285833333333333
4,Standard,2.048,2,0.324833333333333
4,Standard,5.12,1,0.366833333333333
4,Standard,5.12,2,0.3685
4,Standard,12.8,1,0.393833333333333
4,Standard,12.8,2,0.407166666666667
4,Standard,32,1,0.495833333333333
4,Standard,32,2,0.494833333333333
4,Standard,80,1,0.820833333333333
4,Standard,80,2,0.792166666666667
4,Standard,200,1,1.3865
4,Standard,200,2,1.5755
4,Standard,500,1,2.6615
4,Standard,500,2,2.82283333333333
