run,conc,rep,fi,beadct
01,0.51,1,1217,121
01,0.51,2,1056,119
01,1.52,1,1191,127
01,1.52,2,1175,123
01,4.57,1,1628.5,114
01,4.57,2,1161.5,158
01,13.72,1,1699,112
01,13.72,2,1630,105
01,41.15,1,2202,111
01,41.15,2,2139,118
01,123.46,1,4774,111
01,123.46,2,4549,113
01,370.37,1,8183.5,130
01,370.37,2,7053.5,100
01,1111.11,1,11448.5,122
01,1111.11,2,10211,141
01,3333.33,1,15754.5,162
01,3333.33,2,14749,112
01,10000,1,17903,122
01,10000,2,19117,107
03,0.51,1,1216.5,126
03,0.51,2,1074,151
03,1.52,1,1417.5,154
03,1.52,2,1140,121
03,4.57,1,1545,111
03,4.57,2,1395,114
03,13.72,1,1706,115
03,13.72,2,1615,129
03,41.15,1,2173,129
03,41.15,2,2410.5,146
03,123.46,1,3203,133
03,123.46,2,4061,116
03,370.37,2,8450,105
03,370.37,1,7710,125
03,1111.11,2,12361,135
03,1111.11,1,10550,118
03,3333.33,2,14655.5,112
03,3333.33,1,14560,120
03,10000,2,19840.5,156
03,10000,1,19873.5,130
09,0.51,2,1349,133
09,0.51,1,1331,127
09,1.52,1,1834,133
09,1.52,2,1335,114
09,4.57,1,1775,132
09,4.57,2,1474,104
09,13.72,2,1907,117
09,13.72,1,2128,134
09,41.15,1,3210,144
09,41.15,2,2806,113
09,123.46,2,4667,127
09,123.46,1,5690,125
09,370.37,1,7622,131
09,370.37,2,7098,133
09,1111.11,2,11452,109
09,1111.11,1,10024,129
09,3333.33,1,15423,100
09,3333.33,2,13497,101
09,10000,1,19160,121
09,10000,2,19135,120
10,0.51,1,2063,143
10,0.51,2,1554,137
10,1.52,1,2331.5,176
10,1.52,2,1466,133
10,4.57,1,2665,125
10,4.57,2,1671,101
10,13.72,1,2951,117
10,13.72,2,2000,133
10,41.15,1,4964,120
10,41.15,2,3218.5,140
10,123.46,1,5889,135
10,123.46,2,7693,109
10,370.37,1,8078,108
10,370.37,2,8542,116
10,1111.11,1,10797,111
10,1111.11,2,10431,128
10,3333.33,1,16530,109
10,3333.33,2,17345,120
10,10000,1,21906,123
10,10000,2,17801,105
11,0.51,1,1495,133
11,0.51,2,1341,124
11,1.52,1,932,100
11,1.52,2,1160,147
11,4.57,1,1727.5,144
11,4.57,2,1371.5,114
11,13.72,1,1657,124
11,13.72,2,1177,133
11,41.15,1,3254,127
11,41.15,2,3125,145
11,123.46,1,4731,111
11,123.46,2,5259,113
11,370.37,1,7600,145
11,370.37,2,7638,122
11,1111.11,1,12389,121
11,1111.11,2,11500.5,136
11,3333.33,1,17127,150
11,3333.33,2,15071,101
11,10000,1,19176.5,150
11,10000,2,16211,113
12,0.51,1,1015,149
12,0.51,2,939,123
12,1.52,1,900,108
12,1.52,2,787,117
12,4.57,1,1209,157
12,4.57,2,1054,133
12,13.72,1,1474,117
12,13.72,2,1354,117
12,41.15,1,2743,118
12,41.15,2,2147,122
12,123.46,1,4497.5,120
12,123.46,2,4173.5,100
12,370.37,1,7839.5,144
12,370.37,2,5448,135
12,1111.11,1,12272,104
12,1111.11,2,8979,131
12,3333.33,1,15827.5,142
12,3333.33,2,15861,144
12,10000,1,20295,127
12,10000,2,18003,100
