conc,01_1,01_2,03_1,03_2,09_1,09_2,10_1,10_2,11_1,11_2,12_1,12_2
0.51,1217,1056,1216.5,1074,1331,1349,2063,1554,1495,1341,1015,939
1.52,1191,1175,1417.5,1140,1834,1335,2331.5,1466,932,1160,900,787
4.57,1628.5,1161.5,1545,1395,1775,1474,2665,1671,1727.5,1371.5,1209,1054
13.72,1699,1630,1706,1615,2128,1907,2951,2000,1657,1177,1474,1354
41.15,2202,2139,2173,2410.5,3210,2806,4964,3218.5,3254,3125,2743,2147
123.46,4774,4549,3203,4061,5690,4667,5889,7693,4731,5259,4497.5,4173.5
370.37,8183.5,7053.5,7710,8450,7622,7098,8078,8542,7600,7638,7839.5,5448
1111.11,11448.5,10211,10550,12361,10024,11452,10797,10431,12389,11500.5,12272,8979
3333.33,15754.5,14749,14560,14655.5,15423,13497,16530,17345,17127,15071,15827.5,15861
10000,17903,19117,19873.5,19840.5,19160,19135,21906,17801,19176.5,16211,20295,18003
